Codice;Codice Fiscale;Ragione Sociale;Indirizzo;Città
AAM122;RCCRSL53H62F704A;Idro Distribuzione Italiana SpA di Luca Russo;Corso della Pace, 16;Monza
ABW154;MRTDVD61D27G337K;Idro Distribuzione Italiana SpA di Luca Russo;Corso XX Settembre, 130;Parma
ABZ150;DSNCLD97C50A285P;PureFlow Idrica Srl di Alessandro Ricci;Via IV Novembre, 195;Andria
ACB566;CNTSRG58E01G337X;BluFonte Distribuzione SpA di Giovanni Greco;Via del Commercio, 118;Parma
ACL019;MRTMTT54T09D612O;Cristallina Acque Srl di Giulia Moretti;Corso Cavour, 285;Firenze
ACS084;LMBGLI68C05H294B;Idroservice Nazionale SpA di Sara Rizzo;Via IV Novembre, 160;Rimini
ADU000;LNEGPP60S08L049D;Servizi Idrici del Nord Srl di Stefano Bruno;Via Verdi, 79;Taranto
AFT025;GNTRSO45D64G999W;Idroservice Nazionale SpA di Sara Rizzo;Viale delle Industrie, 113;Prato
AGD230;SRRRRT98M55L378I;BluAcqua Forniture Srl di Giuseppe Esposito;Via della Costituzione, 228;Trento
AGU197;MNTLNZ97P25A390I;Servizi Idrici del Nord Srl di Stefano Bruno;Via dei Mille, 106;Arezzo
AHC234;GNTSLV86T65I452O;Idroservice Nazionale SpA di Sara Rizzo;Viale Leopardi, 177;Sassari
AHL387;CSTMHL86T05D548M;Acque del Sud Italia SpA di Elena Giordano;Viale Italia, 76;Ferrara
AHN598;BRBTRS67S45F257P;AcquaPura Italia Srl di Maria Costa;Corso Marconi, 124;Modena
AHU083;BNCLCU72H51A662R;Acque del Sud Italia SpA di Elena Giordano;Via Roma, 264;Bari
AJO307;VLLRRT46P49A271U;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale Nazionale, 249;Ancona
AJQ218;MRNFNC77C61F704S;Rete Idrica Nazionale SpA di Matteo Colombo;Viale Italia, 63;Monza
AKN369;GRDLNZ94R12E625M;AcquaPura Italia Srl di Maria Costa;Piazza Mazzini, 241;Livorno
ALW526;SRRSMN51A01G482Z;Idro Distribuzione Italiana SpA di Luca Russo;Corso Cavour, 251;Pescara
AMY678;BRNGLI82R52L781A;PureFlow Idrica Srl di Alessandro Ricci;Via del Commercio, 67;Verona
ANE741;MRNPRI70L08L736Q;Sorgenti d'Italia Srl di Roberto Marino;Corso Marconi, 156;Venezia
ANF698;GNTPLA69T57I754E;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Roma, 62;Siracusa
ANS132;GRCBBR52B45G478Y;Acque del Sud Italia SpA di Elena Giordano;Viale Italia, 150;Perugia
AOO648;VLLRRT79R15L378F;Sorgenti d'Italia Srl di Roberto Marino;Corso Cavour, 137;Trento
AOS277;RCCTRS86C52D548J;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso Cavour, 244;Ferrara
AOU577;DLCFNC54L44H224D;Sorgenti d'Italia Srl di Roberto Marino;Via dei Mille, 160;Reggio Calabria
AOX531;CRSSLV71D54B354I;Sorgenti d'Italia Srl di Roberto Marino;Viale Leopardi, 90;Cagliari
ARS563;NRELSN76H56F839I;Fonti Chiare Distribuzione Srl di Laura Mancini;Piazza Mazzini, 191;Napoli
ATV843;FRRCRN85T64A390B;Rete Idrica Nazionale SpA di Matteo Colombo;Via Matteotti, 189;Arezzo
AVH583;FNTCHR91S65H224W;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Dante, 231;Reggio Calabria
