Codice;Cliente;DataAp;Indirizzo;Città;Stato;DataCh
10002956;NZM860;11/02/2021;Via Europa, 144;Pordenone;Inattivo;24/04/2022
10059054;WDF372;07/12/2023;Viale della Repubblica, 195;Foligno;Attivo;
10108985;LSF318;18/05/2025;Corso del Risorgimento, 120;Andria;Inattivo;25/07/2025
10115477;PNG737;25/07/2022;Via della Libertà, 124;Treviso;Attivo;
10167618;CGF559;01/11/2022;Via Verdi, 5;Parma;Attivo;
10230091;IWI872;02/10/2023;Corso XX Settembre, 66;Prato;Attivo;
10251906;ZTN703;10/01/2025;Via San Giovanni, 138;Padova;Attivo;
10260469;VAO831;13/03/2020;Via della Libertà, 172;Pisa;Attivo;
10287721;CHG774;06/07/2025;Corso Garibaldi, 260;Pordenone;Inattivo;27/11/2025
10307562;BXP357;03/01/2022;Corso XX Settembre, 215;Bologna;Attivo;
10332285;HVG220;15/08/2023;Corso della Pace, 203;Cremona;Attivo;
10356303;UYK335;11/10/2021;Viale Leopardi, 98;Ascoli Piceno;Attivo;
10385025;NOV815;07/11/2023;Viale dei Lavoratori, 139;Ferrara;Inattivo;14/01/2026
10404769;HVV983;15/10/2021;Via del Commercio, 98;Ferrara;Inattivo;06/01/2024
10415893;RQQ700;30/05/2022;Corso Marconi, 206;Forlì;Inattivo;23/04/2023
10458927;ZYV955;30/01/2024;Via Verdi, 138;Latina;Attivo;
10464549;XCX808;07/03/2025;Corso Vittorio Emanuele, 275;Monza;Attivo;
10491744;TSP597;17/03/2022;Viale Italia, 196;Piacenza;Attivo;
10507026;HFI809;09/07/2020;Viale Santa Maria, 269;Cesena;Attivo;
10522918;SLE778;30/12/2022;Viale dei Lavoratori, 209;Cesena;Inattivo;25/10/2024
10531260;ZWO940;26/02/2024;Corso Garibaldi, 72;Pavia;Inattivo;09/09/2025
10591297;HPK505;17/09/2023;Viale delle Industrie, 63;Bergamo;Attivo;
10593777;KPG395;28/12/2023;Viale delle Industrie, 276;Catania;Attivo;
10617413;QTB722;08/09/2024;Via Mazzini, 185;Spoleto;Attivo;
10636210;WCA785;09/01/2024;Via della Libertà, 29;Foggia;Attivo;
10644547;JWO871;18/10/2023;Via dell'Acquedotto, 40;Arezzo;Attivo;
10649340;KIF285;12/04/2022;Via Roma, 143;Prato;Attivo;
10676267;CAW728;31/03/2024;Viale dei Lavoratori, 246;Bergamo;Inattivo;18/06/2025
10713204;TVJ192;23/01/2023;Via Mazzini, 180;Spoleto;Attivo;
10720245;IJX684;03/01/2024;Corso Garibaldi, 85;Napoli;Attivo;
10730242;OJH236;25/04/2024;Via Dante, 133;Avellino;Attivo;
10734293;OJV692;06/07/2020;Viale della Repubblica, 251;Taranto;Attivo;
10760175;XLR022;30/03/2021;Corso del Risorgimento, 4;Andria;Attivo;
10805701;ZSQ593;31/07/2025;Via Colombo, 165;Pordenone;Inattivo;21/11/2025
10810014;VZU602;29/12/2021;Corso della Pace, 214;Crotone;Attivo;
10817852;KSO238;04/08/2021;Viale Nazionale, 282;Bari;Attivo;
10848426;OBZ122;02/11/2022;Corso XX Settembre, 105;Barletta;Attivo;
10906053;KKN706;24/01/2020;Corso XX Settembre, 212;Grosseto;Attivo;
10908993;OEF088;27/09/2020;Piazza Mazzini, 2;Treviso;Attivo;
10926288;ZSN423;17/06/2024;Via Roma, 253;Barletta;Inattivo;20/02/2026
10934596;HEQ710;07/10/2021;Via Mazzini, 266;Livorno;Attivo;
10962588;JQQ975;26/12/2023;Viale delle Industrie, 130;Ascoli Piceno;Attivo;
11027621;DGU547;16/07/2021;Via dell'Acquedotto, 234;Gorizia;Attivo;
11042797;SPU332;02/12/2022;Via della Libertà, 300;Lecce;Attivo;
11101561;QJE701;27/08/2024;Corso XX Settembre, 133;Siracusa;Inattivo;08/02/2026
11137535;MJV994;11/12/2025;Viale Leopardi, 86;Bari;Inattivo;24/02/2026
11193910;LUH570;15/10/2022;Via Dante, 294;Olbia;Attivo;
11193932;DQV510;10/12/2023;Via della Libertà, 297;Sondrio;Inattivo;06/07/2024
11196227;RGR089;05/09/2021;Via delle Scienze, 242;Gorizia;Attivo;
11223414;MTY659;17/12/2021;Via Roma, 214;Belluno;Attivo;
11226916;ABZ150;12/04/2024;Via Matteotti, 129;Foggia;Attivo;
11249316;TQQ877;25/12/2022;Via Mazzini, 133;Trento;Inattivo;26/01/2026
11256253;FTK023;24/10/2020;Via Dante, 161;Ravenna;Inattivo;23/01/2023
11259283;SNI095;19/05/2022;Viale Santa Maria, 241;Cesena;Attivo;
11269804;QTX091;25/11/2022;Viale Nazionale, 258;Foggia;Attivo;
11284008;IIU278;14/06/2022;Via Roma, 230;Bolzano;Attivo;
11289348;ZBO949;31/10/2021;Via delle Scienze, 84;Firenze;Attivo;
